Date Collected	Species	Sex	Weight	Calibrated Scale	Plot	Field Season
7/16/2013	DM	F	na	Yes	2	2013
7/16/2013	DM	M	33g	Yes	7	2013
7/16/2013	DM	M	na	Yes	3	2013
7/16/2013	DM	M	na	Yes	1	2013
7/18/2013	DM	M	40g	Yes	3	2013
7/18/2013	DM	M	48g	Yes	7	2013
7/18/2013	DM	F	29g	Yes	4	2013
7/18/2013	DM	F	37g	Yes	6	2013
8/19/2013	DO	F	52	Yes	8	2013
10/17/2013	DO	F	33	Yes	3	2013
10/17/2013	DO	F	50	Yes	3	2013
12/10/2013	DO	F	40	Yes	9	2013
12/10/2013	DO	M	45	Yes	1	2013
12/11/2013	DO	F	41	Yes	8	2013
11/12/2013	DS	F	117	Yes	9	2013
11/13/2013	DS	F	126	Yes	11	2013
11/13/2013	DS	M	132	No	17	2013
11/13/2013	DS	F	113	No	14	2013
11/13/2013	DS	F	122	Yes	11	2013
11/13/2013	DS	F	107	Yes	4	2013
11/13/2013	DS	F	115	Yes	4	2013
1/9/2014	DM	M	40	Yes	1	2014
1/9/2014	DM	F	36	Yes	1	2014
3/13/2014	DM	F	51	Yes	1	2014
3/13/2014	DM	F	44	Yes	1	2014
3/13/2014	DS	F	146	Yes	1	2014
1/8/2014	NA	NA	na	Yes	2	2014
1/8/2014	DM	M	44	Yes	2	2014
1/8/2014	PF	F	7	Yes	2	2014
1/8/2014	DM	M	45	Yes	2	2014
1/8/2014	OT	NA	na	Yes	2	2014
1/8/2014	DS	M	157	No	2	2014
1/8/2014	OX	NA	na	Yes	2	2014
2/18/2014	NA	M	218	No	2	2014
2/18/2014	PF	F	7	Yes	2	2014
2/18/2014	DM	M	52	Yes	2	2014
3/11/2015	PF	M	8	Yes	3	2014
4/8/2015	NA	F	na	Yes	3	2014
5/6/2015	na	na	na	Yes	3	2014
5/18/2015	NA	F	182	Yes	3	2014
6/9/2015	OT	F	29	Yes	3	2014
7/8/2015	NA	F	115	Yes	3	2014
7/8/2015	NA	M	190	Yes	3	2014
1/8/1978	DM	F	37	Yes	4	2014
1/8/1978	DM	M	na	Yes	4	2014
1/8/1978	DM	F	48	Yes	4	2014
1/8/1978	DO	M	52	Yes	4	2014
1/8/1978	OL	M	35	Yes	4	2014
